ind raw assembled
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_10_PBR_363.fq 666538 212405
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_11_PBR_345.fq 1235438 387372
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_12_PBR_386.fq 710663 217394
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_13_PBR_406.fq 1783455 576766
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_14_PC_337.fq 1482352 464223
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_15_PC_289.fq 518679 167022
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_16_PC_292.fq 2179582 696975
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_17_PC_276.fq 4354 825
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_18_PC_185.fq 1488 150
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_19_PC_132.fq 1929356 629750
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_20_PC_563.fq 1732127 547628
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_21_PC_337.fq 13307 2573
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_22_PC_307.fq 1039089 331580
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_23_PC_254.fq 1949722 629277
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_24_PC_269.fq 3658224 1163129
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_25_PC_287.fq 710343 223220
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_26_PC_309.fq 7414 1174
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_27_PC_292.fq 1255983 402444
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_28_PC_274.fq 1196669 386174
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_29_PC_444.fq 1184347 303153
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_30_PC_396.fq 2205874 690902
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_31_PC_345.fq 1445067 463980
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_32_PC_307.fq 475140 151179
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_33_PC_261.fq 608569 196584
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_34_PC_294.fq 2954736 927624
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_35_PC_307.fq 1690965 537531
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_36_PC_299.fq 1377659 439287
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_37_PC_142.fq 2720254 865747
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_38_PC_139.fq 2003126 642178
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_39_PC_134.fq 531500 170249
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_40_PC_144.fq 2676914 864518
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_41_PC_246.fq 1494245 471625
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_42_PC_137.fq 1180310 379022
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_43_PC_127.fq 8517 2617
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_44_TOL_345.fq 141082 43526
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_45_TOL_312.fq 390125 119445
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_46_TOL_337.fq 2970261 950796
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_47_TOL_353.fq 1009141 322167
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_48_TOL_347.fq 1916258 598482
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_49_TOL_342.fq 32726 8195
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_51_PBR_331.fq 75949 4314
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_52_PBR_335.fq 24747 5401
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_53_PBR_311.fq 37736 9186
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_54_PBR_307.fq 42131 2835
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_55_PBR_309.fq 103745 28789
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_56_PBR_540.fq 150579 5415
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_57_PBR_330.fq 38702 6853
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_58_PBR_423.fq 47264 3318
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_59_PBR_421.fq 15034 2727
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_60_PBR_326.fq 20554 2186
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_61_PBR_320.fq 161422 20316
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_62_PBR_496.fq 99270 23767
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_63_PBR_370.fq 46715 10179
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_64_PBR_315.fq 206100 42222
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_65_PBR_215.fq 79183 14441
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_66_PBR_1000.fq 47039 12816
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_67_FG_711.fq 8415 2361
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_68_FG_540.fq 301573 35097
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_69_FG_438.fq 82158 16338
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_70_FG_439.fq 78568 9703
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_71_FG_457.fq 230563 68960
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_72_FG_457.fq 691 176
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_73_FG_398.fq 127 7
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_74_FG_450.fq 1869 77
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_75_FG_426.fq 3087 503
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_76_FG_452.fq 90 9
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_77_FG_362.fq 38 9
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_81_PBR_366.fq 483591 152634
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_82_PBR_427.fq 317757 98279
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_83_PBR_351.fq 898968 283165
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_84_PBR_439.fq 392959 120764
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_85_PBR_394.fq 385311 118752
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_86_PBR_467.fq 722322 230507
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_87_PBR_371.fq 339872 108601
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_88_PBR_348.fq 479248 152523
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem2/1000_9_PBR_370.fq 2050301 643668
