ind raw assembled
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_10_PBR_363.fq 666538 585903
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_11_PBR_345.fq 1235438 1091617
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_12_PBR_386.fq 710663 605494
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_13_PBR_406.fq 1783455 1575086
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_14_PC_337.fq 1482352 1286366
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_15_PC_289.fq 518679 459775
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_16_PC_292.fq 2179582 1919863
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_17_PC_276.fq 4354 2208
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_18_PC_185.fq 1488 400
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_19_PC_132.fq 1929356 1714097
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_20_PC_563.fq 1732127 1530851
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_21_PC_337.fq 13307 6993
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_22_PC_307.fq 1039089 920394
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_23_PC_254.fq 1949722 1731360
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_24_PC_269.fq 3658224 3241481
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_25_PC_287.fq 710343 615903
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_26_PC_309.fq 7414 3252
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_27_PC_292.fq 1255983 1108205
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_28_PC_274.fq 1196669 1062121
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_29_PC_444.fq 1184347 824601
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_30_PC_396.fq 2205874 1939557
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_31_PC_345.fq 1445067 1277013
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_32_PC_307.fq 475140 418064
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_33_PC_261.fq 608569 538187
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_34_PC_294.fq 2954736 2610774
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_35_PC_307.fq 1690965 1482321
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_36_PC_299.fq 1377659 1218367
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_37_PC_142.fq 2720254 2411455
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_38_PC_139.fq 2003126 1776241
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_39_PC_134.fq 531500 467560
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_40_PC_144.fq 2676914 2386263
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_41_PC_246.fq 1494245 1316723
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_42_PC_137.fq 1180310 1049804
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_43_PC_127.fq 8517 7412
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_44_TOL_345.fq 141082 121869
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_45_TOL_312.fq 390125 339652
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_46_TOL_337.fq 2970261 2634880
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_47_TOL_353.fq 1009141 882808
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_48_TOL_347.fq 1916258 1680438
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_49_TOL_342.fq 32726 22984
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_51_PBR_331.fq 75949 13194
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_52_PBR_335.fq 24747 15458
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_53_PBR_311.fq 37736 25798
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_54_PBR_307.fq 42131 7489
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_55_PBR_309.fq 103745 84027
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_56_PBR_540.fq 150579 14301
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_57_PBR_330.fq 38702 19695
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_58_PBR_423.fq 47264 8673
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_59_PBR_421.fq 15034 7828
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_60_PBR_326.fq 20554 6041
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_61_PBR_320.fq 161422 57771
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_62_PBR_496.fq 99270 67902
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_63_PBR_370.fq 46715 29012
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_64_PBR_315.fq 206100 122339
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_65_PBR_215.fq 79183 42667
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_66_PBR_1000.fq 47039 35360
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_67_FG_711.fq 8415 6316
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_68_FG_540.fq 301573 92347
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_69_FG_438.fq 82158 46359
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_70_FG_439.fq 78568 27549
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_71_FG_457.fq 230563 194430
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_72_FG_457.fq 691 503
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_73_FG_398.fq 127 22
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_74_FG_450.fq 1869 239
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_75_FG_426.fq 3087 1356
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_76_FG_452.fq 90 23
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_77_FG_362.fq 38 16
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_81_PBR_366.fq 483591 415958
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_82_PBR_427.fq 317757 273354
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_83_PBR_351.fq 898968 785447
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_84_PBR_439.fq 392959 332216
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_85_PBR_394.fq 385311 332394
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_86_PBR_467.fq 722322 642054
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_87_PBR_371.fq 339872 299166
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_88_PBR_348.fq 479248 416393
/scratch/rbaghdan/genomicmethods/bwa_assem/bwa_assem3/1000_9_PBR_370.fq 2050301 1793707
